CodeReg,CodeDep,Esperance,idBank,Dernière mise à jour,Période,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
84,1,Espérance de vie à la naissance - Hommes - Ain,001745883,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07142857142857,79.27142857142859,79.52142857142857,79.64285714285714,79.68571428571431,80.54285714285713,80.55714285714285,80.97142857142856,81.15,81.27857142857144,81.37857142857142,81.64999999999999,82.02857142857142,81.95714285714284,82.15714285714284,82.60000000000001,82.33571428571429,82.62857142857142,82.64285714285714,82.74285714285713,82.95714285714287,82.25714285714285
32,2,Espérance de vie à la naissance - Hommes - Aisne,001745884,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,72.0,72.2,72.4,73.15,72.9,72.7,73.45,73.6,73.85,73.7,73.95,74.75,74.80000000000001,74.85,75.25,75.19999999999999,75.75,76.05000000000001,76.5,76.05,76.44999999999999,76.0,76.7,76.8,77.25,77.15,76.80000000000001,77.4,78.6,78.44999999999999,78.5,78.6,78.25,78.75,79.25,79.35,79.4,79.35,79.9,79.75,79.95,80.19999999999999,80.15,80.15,79.25
84,3,Espérance de vie à la naissance - Hommes - Allier,001745885,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,73.65,73.55,74.25,74.15,74.4,74.3,74.3,74.8,74.44999999999999,75.25,75.65,75.35,76.0,76.15,76.4,76.7,77.05,77.05,77.4,77.25,77.3,77.95,77.75,78.4,78.3,78.1,78.65,78.65,79.35,79.15,80.1,80.15,80.0,79.85,80.0,80.7,80.80000000000001,80.9,81.65,81.25,81.4,81.80000000000001,81.5,81.69999999999999,81.0
93,4,Espérance de vie à la naissance - Hommes - Alpes-de-Haute-Provence,001745886,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,74.7,74.75,74.9,74.85,74.85,74.7,75.30000000000001,75.65,76.19999999999999,76.6,77.3,77.5,77.3,77.9,77.35,78.1,77.4,77.85,78.3,78.95,78.05000000000001,79.05,79.8,79.3,79.75,79.80000000000001,79.75,80.05000000000001,80.4,80.65,80.25,80.8,81.5,81.2,81.65,81.9,82.35,81.9,81.69999999999999,82.15,81.8,82.05,82.1,82.4,82.05
93,5,Espérance de vie à la naissance - Hommes - Hautes-Alpes,001745887,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94999999999999,74.25,74.95,76.19999999999999,74.65,74.85,74.95,76.19999999999999,76.6,76.05000000000001,76.4,76.5,77.75,77.45,77.4,78.15,77.8,78.30000000000001,77.85,78.9,78.7,78.7,79.4,79.1,78.69999999999999,80.35,80.05000000000001,80.4,80.55,80.4,80.85,81.75,81.65,82.05,81.6,81.69999999999999,83.05000000000001,82.85,82.8,83.30000000000001,82.80000000000001,83.25,83.7,83.45,82.9,81.85
93,6,Espérance de vie à la naissance - Hommes - Alpes-Maritimes,001745888,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,74.75,75.6,75.85,75.65,75.55,76.0,76.19999999999999,76.5,76.6,77.0,77.0,77.30000000000001,77.25,77.6,77.9,77.5,77.69999999999999,78.05000000000001,78.2,78.5,78.80000000000001,79.75,79.5,79.7,80.05,80.15,80.55,80.35,81.05000000000001,81.25,81.55,81.8,81.65,81.95,82.4,82.5,82.44999999999999,82.6,82.7,82.65,82.6,82.75,83.15,83.15,82.75
84,7,Espérance de vie à la naissance - Hommes - Ardèche,001745889,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94999999999999,73.5,74.69999999999999,74.6,74.25,74.4,74.7,75.2,76.05,76.6,76.55,76.35,76.85,77.30000000000001,77.3,77.7,77.9,77.65,78.15,78.55000000000001,78.65,79.15,79.0,79.05000000000001,79.25,79.3,79.5,80.25,79.9,80.85,80.6,81.15,81.55,81.25,81.5,81.3,82.05000000000001,81.4,82.1,82.69999999999999,81.94999999999999,82.35,82.4,82.4,82.3,81.35
44,8,Espérance de vie à la naissance - Hommes - Ardennes,001745890,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.05,71.5,72.5,72.15,72.65,72.7,73.0,73.8,73.75,73.85,74.0,74.4,74.85,75.15,74.45,75.9,76.0,76.15,75.69999999999999,76.05,76.44999999999999,77.2,76.80000000000001,76.95,77.15,77.4,77.2,77.25,77.75,77.95,78.65,79.35,79.45,78.7,79.05,79.7,79.9,79.45,80.0,80.44999999999999,80.6,80.55,80.35,80.75,81.05000000000001,80.35
76,9,Espérance de vie à la naissance - Hommes - Ariège,001745891,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,75.0,75.3,75.55000000000001,74.94999999999999,76.05,75.95,76.0,76.0,75.75,76.0,76.85,77.1,77.6,77.65,77.15,78.1,77.55,78.35,77.9,78.4,78.4,78.65,78.6,78.8,78.9,79.30000000000001,79.15,79.4,79.55000000000001,80.0,80.35,80.05,81.35,80.55000000000001,81.25,81.65,81.05,81.9,81.8,82.0,81.7,81.75,82.25,82.2,82.2
44,10,Espérance de vie à la naissance - Hommes - Aube,001745892,28/04/2021 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,73.19999999999999,73.65,74.0,74.65,74.6,74.55,75.05,74.44999999999999,75.1,75.9,75.2,76.0,76.95,76.1,76.75,76.44999999999999,76.94999999999999,76.8,77.5,77.35,77.4,78.5,78.2,78.05000000000001,78.85,79.1,78.85,78.9,80.35,79.55,80.05,80.1,80.2,80.05,80.5,80.75,80.80000000000001,80.75,81.7,81.25,81.44999999999999,81.35,81.35,81.25,80.6
