Année;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Région;;;;;;;;;;;;;;;;;;;;;;;;;;
Auvergne-Rhône-Alpes;18 093;18 555;18 915;18 835;19 328;20 164;20 783;21 612;22 584;23 018;24 100;24 809;25 148;25 600;26 931;27 565;28 888;29 853;30 267;29 049;29 603;30 706;30 719;30 873;31 121;31 639
Bourgogne-Franche-Comté;16 159;16 586;17 011;16 903;17 418;18 168;18 582;19 098;20 017;20 448;21 613;22 215;22 669;23 010;23 939;24 211;24 998;26 127;25 984;24 947;24 905;25 773;25 379;25 497;25 922;26 218
Bretagne;14 893;15 447;16 094;16 307;17 003;17 533;17 929;18 684;19 531;20 017;21 305;21 974;22 416;22 983;24 362;25 143;26 081;26 758;26 199;25 236;25 339;26 340;26 539;26 834;27 290;27 838
Centre-Val de Loire;16 905;17 409;17 925;17 938;18 415;19 066;19 367;19 675;20 577;21 079;21 954;22 712;23 160;23 619;24 514;24 916;25 807;26 785;26 084;25 426;25 736;26 494;26 581;26 707;26 816;27 274
Corse;14 225;14 800;15 313;15 186;15 382;15 321;15 422;16 402;17 303;18 109;18 495;19 327;19 562;20 134;20 804;21 685;22 839;23 393;24 483;24 985;25 389;26 162;26 229;26 352;26 376;26 954
Grand Est;16 838;17 299;17 937;18 048;18 549;19 313;19 675;20 029;21 061;21 345;22 381;22 866;23 292;23 668;24 729;25 010;25 846;26 946;26 827;25 854;25 808;26 829;26 535;26 838;27 105;27 378
Hauts-de-France;14 793;15 219;15 729;15 779;16 246;16 850;17 297;17 544;18 484;18 814;19 576;20 144;20 761;21 353;22 019;22 612;23 552;24 609;24 896;24 075;24 340;25 177;25 166;25 429;25 548;26 095
Île-de-France;28 072;28 937;29 827;30 220;31 062;31 377;32 272;33 367;34 474;36 480;38 111;39 102;40 271;40 776;41 869;43 316;44 691;47 617;50 994;48 849;51 608;51 850;52 788;53 731;54 157;55 227
Normandie;16 235;16 797;17 372;17 430;18 031;18 524;18 782;19 167;19 866;20 436;21 533;21 994;22 528;23 180;24 093;24 572;25 451;26 535;26 195;25 249;25 824;26 696;26 746;26 990;26 990;27 465
Nouvelle-Aquitaine;15 523;16 039;16 574;16 675;17 269;17 880;18 352;19 065;19 930;19 972;21 108;22 063;22 784;23 188;23 853;24 497;25 518;26 411;25 843;25 371;25 728;26 681;26 899;26 947;27 290;27 657
Occitanie;15 133;15 620;16 063;16 151;16 610;17 212;17 555;18 185;18 821;19 382;20 045;21 080;21 590;22 162;22 985;23 771;25 075;25 541;25 796;25 349;25 278;26 170;26 481;26 620;27 001;27 449
Pays de la Loire;15 510;16 115;16 747;16 868;17 465;18 266;18 811;19 139;20 128;20 771;22 109;23 061;23 639;24 200;24 929;25 567;26 375;27 449;27 877;26 834;26 966;28 195;28 307;28 554;28 880;29 424
Provence-Alpes-Côte d'Azur;17 021;17 807;18 467;18 470;18 971;19 417;19 733;20 088;20 886;21 394;22 513;23 495;23 953;24 615;25 791;26 735;27 845;28 535;28 512;28 049;29 161;29 687;30 408;30 256;30 438;30 864
Province;16 167;16 687;17 216;17 263;17 788;18 438;18 860;19 373;20 254;20 667;21 693;22 442;22 944;23 455;24 421;25 028;26 056;26 965;26 945;26 136;26 454;27 380;27 485;27 645;27 907;28 358
Métropole;18 407;18 992;19 590;19 701;20 285;20 870;21 377;21 995;22 915;23 627;24 768;25 563;26 192;26 704;27 695;28 462;29 555;30 841;31 459;30 401;31 180;31 976;32 236;32 544;32 839;33 409
Guadeloupe;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;12 264;12 954;13 388;14 542;15 069;15 894;16 823;17 888;18 799;18 584;19 434;19 782;19 923;19 861;20 399;21 201
Martinique;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;14 715;15 644;16 028;16 865;17 892;18 780;19 730;20 519;20 508;20 196;21 351;21 819;22 215;22 710;23 222;23 900
Guyane;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;11 590;12 759;13 486;12 965;12 993;13 591;14 684;14 421;14 511;14 888;15 053;15 375;16 290;15 704;15 765;15 853
Réunion;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;13 187;13 939;14 584;15 236;15 992;16 882;17 751;18 705;19 246;18 603;18 775;19 159;20 445;20 198;20 707;21 090
Mayotte;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;3 928;4 077;4 155;4 554;5 026;5 464;6 112;6 390;7 266;7 058;7 403;7 534;8 365;8 034;8 552;8 661
DOM;9 731;9 721;9 878;10 154;10 291;10 718;10 983;11 343;11 760;12 253;12 413;13 155;13 638;14 275;14 918;15 699;16 573;17 296;17 755;17 385;17 862;18 187;18 945;18 783;19 201;19 591
France entière (=Métropole+Dom) ;18 181;18 748;19 330;19 443;20 011;20 587;21 083;21 689;22 591;23 292;24 400;25 191;25 812;26 324;27 302;28 067;29 151;30 417;31 028;29 990;30 758;31 539;31 814;32 106;32 404;32 967
